Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,32/124,1.6165092676577974e-14,4.477730671412099e-12,0,0,6.607295949610708,209.820776462455,PCNA;MCM7;PRKDC;BUB1B;TTK;PKMYT1;CDC20;CCNB2;CCNB1;CDC45;PTTG1;ORC1;MYC;CHEK1;E2F1;E2F5;BUB1;CDKN2A;PLK1;CDC6;CDC25C;CDC25A;CDC25B;CCNA2;DBF4;RBL1;ESPL1;CDK4;CDK1;MCM4;MCM2;MAD2L1
KEGG_2021_Human,DNA replication,12/36,1.241304778563059e-07,1.7192071183098367e-05,0,0,9.344181459566077,148.59054362064538,FEN1;RFC3;PCNA;RNASEH2A;RFC4;MCM7;LIG1;PRIM1;POLD2;MCM4;DNA2;MCM2
KEGG_2021_Human,IL-17 signaling pathway,18/94,1.1625176859543374e-06,0.00010733913300311714,0,0,4.44031954887218,60.676622447860304,CXCL6;CEBPB;CSF2;CXCL8;MMP1;CCL20;MMP3;CXCL1;CXCL3;CXCL2;MMP9;MAPK15;CXCL5;MUC5AC;MMP13;LCN2;S100A9;S100A7
KEGG_2021_Human,Rheumatoid arthritis,16/93,1.879233815412215e-05,0.0013013694171729,0,0,3.887771634306288,42.30696930786875,CXCL6;IL11;CSF2;CXCL8;CCL3L1;MMP1;CCL20;MMP3;CXCL1;CXCL3;CXCL2;CXCL5;VEGFA;IL1A;IL23A;ATP6V1C2
KEGG_2021_Human,p53 signaling pathway,13/73,7.741841979132338e-05,0.0042889804564393,0,0,4.045442579795986,38.29531574445026,RRM2;CDKN2A;SERPINE1;SERPINB5;BBC3;CCNB2;CCNB1;CDK4;PERP;CHEK1;CDK1;PMAIP1;GTSE1
KEGG_2021_Human,Cytokine-cytokine receptor interaction,30/295,0.0002890652824185758,0.0133451805383242,0,0,2.1265060240963853,17.328595636372146,CXCL6;TNFRSF6B;CSF2;CXCL8;CCL3L1;IL24;CXCL17;TNFRSF11B;CXCL1;CXCL3;CXCL2;CXCL5;AMH;IL11;CCL24;TNFRSF12A;TNFSF15;CCL20;GDF15;LIF;OSM;INHBB;PPBP;INHBA;EDAR;BMP4;IL1A;IL23A;TNFSF9;PF4
KEGG_2021_Human,Protein digestion and absorption,14/103,0.0007756025714554415,0.0247535160132585,0,0,2.935448772038904,21.02330343388316,PRSS1;KCNE3;COL11A1;COL12A1;SLC3A2;SLC1A5;COL1A1;COL5A1;KCNQ1;COL7A1;COL5A2;COL8A1;COL10A1;KCNN4
KEGG_2021_Human,Mismatch repair,6/23,0.0008535107450950641,0.0247535160132585,0,0,6.559515570934256,46.350536867300825,RFC3;PCNA;RFC4;LIG1;EXO1;POLD2
KEGG_2021_Human,Wnt signaling pathway,19/166,0.0008903086313237226,0.0247535160132585,0,0,2.416506225131562,16.973400482811275,RNF43;MMP7;WNT5A;TCF7;LEF1;FZD10;AXIN2;NKD1;NKD2;DKK4;WNT11;ZNRF3;BAMBI;MYC;RUVBL1;NOTUM;LGR6;WNT2;LGR5
KEGG_2021_Human,Bladder cancer,8/41,0.0009829916106348152,0.0247535160132585,0,0,4.510567363219622,31.23527291431021,CXCL8;CDKN2A;MMP1;CDK4;MYC;E2F1;MMP9;VEGFA
KEGG_2021_Human,Homologous recombination,8/41,0.0009829916106348152,0.0247535160132585,0,0,4.510567363219622,31.23527291431021,BLM;EME1;XRCC2;POLD2;RAD54L;BRCA1;BRCA2;RAD54B
KEGG_2021_Human,Cellular senescence,18/156,0.0010944005675853,0.0252624131017628,0,0,2.4373706004140785,16.616892262441546,CXCL8;CDKN2A;SERPINE1;CACNA1D;FOXM1;CDC25A;CCNA2;CCNB2;IL1A;CCNB1;RBL1;CDK4;MYC;CHEK1;CDK1;E2F1;MYBL2;E2F5
KEGG_2021_Human,Fanconi anemia pathway,9/54,0.0015724083490929,0.0335043932845195,0,0,3.72251720747296,24.02939524321412,FANCI;BLM;EME1;FANCD2;UBE2T;FANCA;BRCA1;FANCB;BRCA2
KEGG_2021_Human,Hippo signaling pathway,18/163,0.0018052592793517,0.0357183443128879,0,0,2.31884236453202,14.64824559931651,TEAD4;SERPINE1;WNT5A;TCF7;LEF1;FZD10;AXIN2;AREG;NKD1;BBC3;NKD2;BMP4;WNT11;MYC;BIRC5;AMH;AJUBA;WNT2
KEGG_2021_Human,Basal cell carcinoma,9/63,0.0046422133921318,0.0786286248888455,0,0,3.100622746640446,16.658294153367255,BMP4;SHH;WNT11;WNT5A;LEF1;TCF7;FZD10;AXIN2;WNT2
KEGG_2021_Human,TNF signaling pathway,13/112,0.0048550206556519,0.0786286248888455,0,0,2.446727890952965,13.035534758159226,CXCL6;CEBPB;CSF2;CCL20;MMP3;LIF;CXCL1;NOD2;CXCL3;CXCL2;MMP9;CXCL5;MMP14
KEGG_2021_Human,Progesterone-mediated oocyte maturation,12/100,0.005109441328517,0.0786286248888455,0,0,2.539806347498655,13.401707793477172,CCNA2;CCNB2;CCNB1;PLK1;CDK1;CDC25C;PKMYT1;BUB1;CDC25A;CDC25B;AURKA;MAD2L1
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,12/100,0.005109441328517,0.0786286248888455,0,0,2.539806347498655,13.401707793477172,CXCL6;CCL24;CXCL8;CCL3L1;CCL20;IL24;CXCL1;PPBP;CXCL3;CXCL2;CXCL5;PF4
KEGG_2021_Human,Breast cancer,15/147,0.0086074845233056,0.1254880638397721,0,0,2.117840122291161,10.07059061637983,JAG2;WNT5A;TCF7;LEF1;FZD10;BRCA1;AXIN2;BRCA2;DLL4;WNT11;CDK4;MYC;FGF19;E2F1;WNT2
KEGG_2021_Human,Complement and coagulation cascades,10/85,0.0115638124406631,0.1601588023031851,0,0,2.4801837270341207,11.061308591571123,PROCR;PLAU;F12;SERPINE1;SERPINF2;CFI;C4BPB;CFB;CD55;C2
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,14/143,0.0152926561948563,0.2017174174273914,0,0,2.0209424885865737,8.448312720062958,WNT5A;TCF7;LIF;INHBB;FZD10;INHBA;AXIN2;POU5F1B;BMP4;WNT11;MYC;OTX1;FGFR4;WNT2
KEGG_2021_Human,TGF-beta signaling pathway,10/94,0.0222009196830179,0.2795297614634527,0,0,2.213395200599925,8.427771295013521,TGIF1;BMP4;TGIF2;RBL1;BAMBI;MYC;INHBB;INHBA;AMH;E2F5
KEGG_2021_Human,Base excision repair,5/33,0.0252842721923394,0.2993302146609862,0,0,3.3136280957044915,12.18610831891503,FEN1;NEIL3;PCNA;LIG1;POLD2
KEGG_2021_Human,Legionellosis,7/57,0.025934747840663,0.2993302146609862,0,0,2.5999607458292444,9.495502781351847,CXCL8;HSPA6;CXCL1;CXCL3;CXCL2;HSPA1B;HSPD1
KEGG_2021_Human,Cushing syndrome,14/155,0.0285143576761471,0.3159390830517103,0,0,1.8477700221456004,6.57316014359818,SCARB1;CDKN2A;WNT5A;TCF7;LEF1;CACNA1D;FZD10;AXIN2;AGT;NR4A1;WNT11;CDK4;E2F1;WNT2
KEGG_2021_Human,Colorectal cancer,9/86,0.0319894082371597,0.3190714535834813,0,0,2.1718193311113665,7.476163194349843,MYC;LEF1;TCF7;BIRC5;PMAIP1;AXIN2;AREG;BBC3;EREG
KEGG_2021_Human,Vitamin digestion and absorption,4/24,0.0322300289509383,0.3190714535834813,0,0,3.709197651663405,12.740562349411467,SLC5A6;SCARB1;RBP2;SLC19A1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,18/219,0.0333350649497515,0.3190714535834813,0,0,1.667821606254442,5.672503841704248,RANBP1;CSF2;MMP7;MSX2;CDKN2A;SLC2A1;BUB1B;CDC20;CCNA2;CCNB2;PTTG1;ESPL1;CDK4;MYC;CHEK1;E2F1;MSX1;MAD2L1
KEGG_2021_Human,Oocyte meiosis,12/129,0.033404592613433,0.3190714535834813,0,0,1.9073484043898248,6.483195262883847,CDC20;CCNB2;CCNB1;PTTG1;ESPL1;PLK1;CDK1;CDC25C;PKMYT1;BUB1;AURKA;MAD2L1
KEGG_2021_Human,Pathways in cancer,37/531,0.0368591392558727,0.3402615196610618,0,0,1.3995243222000713,4.619342303487167,CXCL8;TCF7;LEF1;SLC2A1;FZD10;BRCA2;BBC3;CKS1B;DLL4;SHH;EDNRA;WNT11;GNG4;MYC;E2F1;PMAIP1;WNT2;JAG2;CDKN2A;MMP1;ITGA2;WNT5A;AXIN2;MMP9;AGT;PGF;VEGFA;BMP4;CCNA2;CDK4;IL23A;FGF19;CKS2;BIRC5;BIRC7;FGFR4;MET
KEGG_2021_Human,Transcriptional misregulation in cancer,16/192,0.0386759117537652,0.3402615196610618,0,0,1.691989198919892,5.503259686281764,CEBPB;CSF2;CXCL8;DEFA6;DEFA5;MMP3;GZMB;ETV4;MMP9;CCNA2;HOXA9;PLAU;MYC;DDIT3;TLX1;MET
